artist,album,year,winner,Decade,sentiment
Frank Sinatra,Come Dance With Me!,1960,1,60s,69
Barbra Streisand,The Barbra Streisand Album,1964,1,60s,-8
Frank Sinatra,September of My Years,1966,1,60s,50
Frank Sinatra,A Man and His Music,1967,1,60s,86
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1968,1,60s,94
Glen Campbell,By the Time I Get to Phoenix,1969,1,60s,5
"Blood, Sweat & Tears","Blood, Sweat Tears",1970,1,70s,34
Simon & Garfunkel,Bridge over Troubled Water,1971,1,70s,-13
Carole King,Tapestry,1972,1,70s,60
George Harrison,The Concert for Bangladesh,1973,1,70s,7
Stevie Wonder,Innervisions,1974,1,70s,71
Stevie Wonder,Fulfillingness' First Finale,1975,1,70s,12
Paul Simon,Still Crazy After All These Years,1976,1,70s,-18
Stevie Wonder,Songs in the Key of Life,1977,1,70s,92
Fleetwood Mac,Rumours,1978,1,70s,40
Bee Gees,Saturday Night Fever: The Original Movie Sound Track,1979,1,70s,-31
Billy Joel,52nd Street,1980,1,80s,4
Christopher Cross,Christopher Cross,1981,1,80s,35
John Lennon,Double Fantasy,1982,1,80s,51
Toto,Toto IV,1983,1,80s,40
Michael Jackson,Thriller,1984,1,80s,70
Lionel Richie,Can't Slow Down,1985,1,80s,33
Phil Collins,No Jacket Required,1986,1,80s,-8
Paul Simon,Graceland,1987,1,80s,24
U2,The Joshua Tree,1988,1,80s,-24
George Michael,Faith,1989,1,80s,82
Bonnie Raitt,Nick of Time,1990,1,90s,29
Quincy Jones,Back on the Block,1991,1,90s,107
Natalie Cole,Unforgettable... with Love,1992,1,90s,145
Eric Clapton,Unplugged,1993,1,90s,14
Whitney Houston,The Bodyguard: Original Soundtrack Album,1994,1,90s,167
Tony Bennett,MTV Unplugged,1995,1,90s,7
Alanis Morissette,Jagged Little Pill,1996,1,90s,32
Celine Dion,Falling into You,1997,1,90s,138
Bob Dylan,Time Out of Mind,1998,1,90s,37
Lauryn Hill,The Miseducation of Lauryn Hill,1999,1,90s,98
Santana,Supernatural,2e3,1,00s,67
Steely Dan,Two Against Nature,2001,1,00s,22
Various Artists,"O Brother, Where Art Thou? (Music from the Motion Picture)",2002,1,00s,32
Norah Jones,Come Away with Me,2003,1,00s,-22
OutKast,Speakerboxxx/The Love Below,2004,1,00s,88
Ray Charles,Genius Loves Company,2005,1,00s,71
U2,How to Dismantle an Atomic Bomb,2006,1,00s,47
Dixie Chicks,Taking the Long Way,2007,1,00s,75
Herbie Hancock,River: The Joni Letters,2008,1,00s,-13
Robert Plant & Alison Krauss,Raising Sand,2009,1,00s,9
Taylor Swift,Fearless,2010,1,10s,52
Arcade Fire,The Suburbs,2011,1,10s,0
Adele,21,2012,1,10s,8
Mumford & Sons,Babel,2013,1,10s,-61
Daft Punk,Random Access Memories,2014,1,10s,77
Beck,Morning Phase,2015,1,10s,-23
Taylor Swift,1989,2016,1,10s,41
Adele,25,2017,1,10s,49
Bruno Mars,24K Magic,2018,1,10s,131
Jay Z,4 44,2018,0,10s,21
Sturgill Simpson,A Sailor S Guide to Earth,2017,0,10s,5
Richard Harris,A Tramp Shining,1969,0,60s,4
The Beatles,Abbey Road,1970,0,70s,48
U2,Achtung Baby,1993,0,90s,27
IndiaArie,Acoustic Soul,2002,0,00s,270
Steely Dan,Aja,1978,0,70s,30
U2,All That You Can't Leave Behind,2002,0,00s,-8
George Harrison,All Things Must Pass,1972,0,70s,35
John Mellencamp,American Fool,1983,0,80s,69
Green Day,American Idiot,2005,0,00s,-96
Don McLean,American Pie,1973,0,70s,1
Billy Joel,An Innocent Man,1984,0,80s,62
Johnny Cash,At San Quentin,1970,0,70s,-59
REM,Automatic for the People,1994,0,90s,-46
Childish Gambino,"Awaken, My Love!",2018,0,10s,34
John Denver,Back Home Again,1975,0,70s,132
Steve Winwood,Back in the High Life,1987,0,80s,92
Amy Winehouse,Back to Black,2008,0,00s,-37
Michael Jackson,Bad,1988,0,80s,11
Donna Summer,Bad Girls,1980,0,80s,161
Walt Disney Records,Beauty and the Beast (Original Motion Picture Soundtrack),1993,0,90s,41
The Weeknd,Beauty Behind the Madness,2016,0,10s,-20
Charlie Rich,Behind Closed Doors,1974,0,70s,43
Janis Ian,Between the Lines,1976,0,70s,59
Beyonce,Beyonce,2015,0,10s,125
Dave Matthews Band,Big Whiskey and the GrooGrux King,2010,0,10s,25
Jack White,Blunderbuss,2013,0,10s,-44
Simon and Garfunkel,Bookends,1969,0,60s,4
Bruce Springsteen,Born in the U S A,1985,0,80s,32
Lady Gaga,Born This Way,2012,0,10s,89
Supertramp,Breakfast in America,1980,0,80s,3
Al Jarreau,Breakin' Away,1982,0,80s,119
George Benson,Breezin',1977,0,70s,15
Dire Straits,Brothers in Arms,1986,0,80s,-5
Phil Collins,But Seriously,1991,0,90s,3
Elton John,Captain Fantastic and the Brown Dirt Cowboy,1976,0,70s,43
Elton John,Caribou,1975,0,70s,-39
Carpenters,Carpenters,1972,0,70s,46
Frank Ocean,Channel Orange,2013,0,10s,56
Paul McCartney,Chaos and Creation in the Backyard,2006,0,00s,59
Chicago,Chicago,1971,0,70s,46
Chicago,Chicago X,1977,0,70s,42
Carpenters,Close to You,1971,0,70s,3
Barbra Streisand,Color Me Barbra,1967,0,60s,48
Shania Twain,Come on Over,1999,0,90s,63
Usher,Confessions,2005,0,00s,-66
John Mayer,Continuum,2007,0,00s,15
Janet Jackson,Control,1987,0,80s,60
Al Hirt,Cotton Candy Sugar Lips,1965,0,60s,15
Joni Mitchell,Court and Spark,1975,0,70s,6
"Crosby, Stills and Nash","Crosby, Stills, Nash",1970,0,70s,5
Kendrick Lamar,Damn,2018,0,10s,-21
Mariah Carey,Daydream,1996,0,90s,69
Andy Williams,Days of Wine and Roses and Other TV Requests,1964,0,60s,50
"Crosby, Stills, Nash and Young",Deja Vu,1971,0,70s,15
Annie Lennox,Diva,1993,0,90s,-30
Bruno Mars,Doo Wops Hooligans,2012,0,10s,20
Foo Fighters,"Echoes, Silence, Patience, Grace",2008,0,00s,-52
The Black Keys,El Camino,2013,0,10s,-14
The White Stripes,Elephant,2004,0,00s,73
Elton John,Elton John,1971,0,70s,3
Barry Manilow,Even Now,1979,0,70s,35
Evanescence,Fallen,2004,0,00s,-108
TLC,FanMail,2e3,0,00s,99
Paul McCartney,Flaming Pie,1998,0,90s,66
Various Artists,Flashdance (Original Motion Picture Soundtrack),1984,0,80s,22
Dixie Chicks,Fly,2e3,0,00s,45
Frank Sinatra,Francis Albert Sinatra Antonio Carlos Jobim,1968,0,60s,9
Eric Clapton,From the Cradle,1995,0,90s,14
Tom Petty,Full Moon Fever,1990,0,90s,25
Original Broadway Cast of Funny Girl,Funny Girl (Original Broadway Cast Recording),1965,0,60s,91
Justin Timberlake,FutureSex/LoveSounds,2007,0,00s,182
Pharrell Williams,G I R L,2015,0,10s,190
Steely Dan,Gaucho,1982,0,80s,3
Billy Joel,Glass Houses,1981,0,80s,-37
Kendrick Lamar,Good Kid M A A D City,2014,0,10s,-103
Kanye West,Graduation,2008,0,00s,112
Barbra Streisand,Guilty,1981,0,80s,19
Amy Grant,Heart in Motion,1992,0,90s,98
