Year,Album,Artist
1961,Nice N Easy,Frank Sinatra
1961,Wild is Love,Nat King Cole
1964,Days of Wine and Roses and Other TV Requests,Andy Williams
1964,Honey in the Horn,Al Hirt
1965,Cotton Candy Sugar Lips,Al Hirt
1965,Funny Girl (Original Broadway Cast Recording),Original Broadway Cast of Funny Girl
1965,People,Barbra Streisand
1966,Help,The Beatles
1966,My Name is Barbra,Barbra Streisand
1966,My World,Eddy Arnold
1966,The Sound of Music (Original Soundtrack Recording),Richard Rodgers
1967,Color Me Barbra,Barbra Streisand
1967,Revolver,The Beatles
1968,Francis Albert Sinatra Antonio Carlos Jobim,Frank Sinatra
1968,It Must Be Him,Vikki Carr
1968,My Cup Runneth Over,Ed Ames
1968,Ode to Billie Joe,Bobbie Gentry
1969,Bookends,Simon and Garfunkel
1969,Magical Mystery Tour,The Beatles
1969,A Tramp Shining,Richard Harris
1970,Abbey Road,The Beatles
1970,"Crosby, Stills, Nash","Crosby, Stills and Nash"
1970,At San Quentin,Johnny Cash
1971,Chicago,Chicago
1971,Close to You,Carpenters
1971,Deja Vu,"Crosby, Stills, Nash and Young"
1971,Elton John,Elton John
1971,Sweet Baby James,James Taylor
1972,All Things Must Pass,George Harrison
1972,Carpenters,Carpenters
1972,Jesus Christ Superstar a Rock Opera,Jesus Christ Superstar Original Studio Cast
1972,Shaft,Isaac Hayes
1973,American Pie,Don McLean
1973,Moods,Neil Diamond
1973,Nilsson Schmilsson,Harry Nilsson
1974,Behind Closed Doors,Charlie Rich
1974,The Divine Miss M,Bette Midler
1974,Killing Me Softly,Roberta Flack
1974,There Goes Rhymin' Simon,Paul Simon
1975,Back Home Again,John Denver
1975,Band on the Run,Paul McCartney
1975,Caribou,Elton John
1975,Court and Spark,Joni Mitchell
1976,Between the Lines,Janis Ian
1976,Captain Fantastic and the Brown Dirt Cowboy,Elton John
1976,Heart Like a Wheel,Linda Ronstadt
1976,One of These Nights,Eagles
1977,Breezin',George Benson
1977,Chicago X,Chicago
1977,Silk Degrees,Boz Scaggs
1978,Aja,Steely Dan
1978,Hotel California,Eagles
1978,JT,James Taylor
1979,Even Now,Barry Manilow
1979,Running on Empty,Jackson Browne
1979,Some Girls,The Rolling Stones
1980,Minute by Minute,The Doobie Brothers
1980,The Gambler,Kenny Rogers
1980,Bad Girls,Donna Summer
1980,Breakfast in America,Supertramp
1981,Glass Houses,Billy Joel
1981,The Wall,Pink Floyd
1981,Trilogy Past Present Future,Frank Sinatra
1981,Guilty,Barbra Streisand
1982,Mistaken Identity,Kim Carnes
1982,Breakin' Away,Al Jarreau
1982,The Dude,Quincy Jones
1982,Gaucho,Steely Dan
1983,American Fool,John Mellencamp
1983,The Nightfly,Donald Fagen
1983,The Nylon Curtain,Billy Joel
1983,Tug of War,Paul McCartney
1984,Let's Dance,David Bowie
1984,An Innocent Man,Billy Joel
1984,Synchronicity,The Police
1984,Flashdance (Original Motion Picture Soundtrack),Various Artists
1985,She's So Unusual,Cyndi Lauper
1985,Purple Rain,Prince and The Revolution
1985,Born in the U S A,Bruce Springsteen
1985,Private Dancer,Tina Turner
1986,Brothers in Arms,Dire Straits
1986,Whitney Houston,Whitney Houston
1986,The Dream of the Blue Turtles,Sting
1986,We Are the World,USA for Africa
1987,Control,Janet Jackson
1987,The Broadway Album,Barbra Streisand
1987,Back in the High Life,Steve Winwood
1988,Whitney,Whitney Houston
1988,Bad,Michael Jackson
1988,Trio,Dolly Parton Linda Ronstadt and Emmylou Harris
1988,Sign o' the Times,Prince
1989,Tracy Chapman,Tracy Chapman
1989,Simple Pleasures,Bobby McFerrin
1989,Nothing Like the Sun,Sting
1989,Roll with It,Steve Winwood
1990,The End of the Innocence,Don Henley
1990,The Raw The Cooked,Fine Young Cannibals
1990,Full Moon Fever,Tom Petty
1990,Traveling Wilburys Vol 1,The Traveling Wilburys
1991,Mariah Carey,Mariah Carey
1991,But Seriously,Phil Collins
1991,Please Hammer Don't Hurt 'Em,MC Hammer
1991,Wilson Phillips,Wilson Phillips
1992,Heart in Motion,Amy Grant
